run_id,test_instance_id,method,initialization,targetnumpods,targetnumorders,targetnumitems,subproblemsevaluated,subproblemtimeinterval,timeforreooptimization,timeforsubproblemselection,tabutype,mlmodel,partitionobjective
1,1,LTO,none,24,20,72,50,360,30,30,lastopt10,partition,synergy
2,1,LTO,none,24,20,72,50,360,20,20,lastopt10,partition,synergy
3,1,LTO,none,24,20,72,50,360,10,10,lastopt10,partition,synergy
4,1,LTO,none,24,20,72,50,360,30,30,lastoptall,partition,synergy
5,1,LTO,none,24,20,72,50,360,20,20,lastoptall,partition,synergy
6,1,LTO,none,24,20,72,50,360,10,10,lastoptall,partition,synergy
7,1,LTO,none,24,20,72,50,360,30,30,tabu15,partition,synergy
8,1,LTO,none,24,20,72,50,360,20,20,tabu15,partition,synergy
9,1,LTO,none,24,20,72,50,360,10,10,tabu15,partition,synergy
10,1,LTO,none,24,20,72,50,360,30,30,tabu8,partition,synergy
11,1,LTO,none,24,20,72,50,360,20,20,tabu8,partition,synergy
12,1,LTO,none,24,20,72,50,360,10,10,tabu8,partition,synergy
13,1,LTO,none,24,20,72,50,360,30,30,orderedsp,partition,synergy
14,1,LTO,none,24,20,72,50,360,20,20,orderedsp,partition,synergy
15,1,LTO,none,24,20,72,50,360,10,10,orderedsp,partition,synergy
16,1,LTO,none,24,20,72,50,360,30,30,lastopt10,partition,random
17,1,LTO,none,24,20,72,50,360,20,20,lastopt10,partition,random
18,1,LTO,none,24,20,72,50,360,10,10,lastopt10,partition,random
19,1,LTO,none,24,20,72,50,360,30,30,lastoptall,partition,random
20,1,LTO,none,24,20,72,50,360,20,20,lastoptall,partition,random
21,1,LTO,none,24,20,72,50,360,10,10,lastoptall,partition,random
22,1,LTO,none,24,20,72,50,360,30,30,tabu15,partition,random
23,1,LTO,none,24,20,72,50,360,20,20,tabu15,partition,random
24,1,LTO,none,24,20,72,50,360,10,10,tabu15,partition,random
25,1,LTO,none,24,20,72,50,360,30,30,tabu8,partition,random
26,1,LTO,none,24,20,72,50,360,20,20,tabu8,partition,random
27,1,LTO,none,24,20,72,50,360,10,10,tabu8,partition,random
28,1,LTO,none,24,20,72,50,360,30,30,orderedsp,partition,random
29,1,LTO,none,24,20,72,50,360,20,20,orderedsp,partition,random
30,1,LTO,none,24,20,72,50,360,10,10,orderedsp,partition,random
31,1,LTO,none,24,20,72,50,360,30,30,lastopt10,partition,heuristic
32,1,LTO,none,24,20,72,50,360,20,20,lastopt10,partition,heuristic
33,1,LTO,none,24,20,72,50,360,10,10,lastopt10,partition,heuristic
34,1,LTO,none,24,20,72,50,360,30,30,lastoptall,partition,heuristic
35,1,LTO,none,24,20,72,50,360,20,20,lastoptall,partition,heuristic
36,1,LTO,none,24,20,72,50,360,10,10,lastoptall,partition,heuristic
37,1,LTO,none,24,20,72,50,360,30,30,tabu15,partition,heuristic
38,1,LTO,none,24,20,72,50,360,20,20,tabu15,partition,heuristic
39,1,LTO,none,24,20,72,50,360,10,10,tabu15,partition,heuristic
40,1,LTO,none,24,20,72,50,360,30,30,tabu8,partition,heuristic
41,1,LTO,none,24,20,72,50,360,20,20,tabu8,partition,heuristic
42,1,LTO,none,24,20,72,50,360,10,10,tabu8,partition,heuristic
43,1,LTO,none,24,20,72,50,360,30,30,orderedsp,partition,heuristic
44,1,LTO,none,24,20,72,50,360,20,20,orderedsp,partition,heuristic
45,1,LTO,none,24,20,72,50,360,10,10,orderedsp,partition,heuristic
46,2,LTO,none,24,20,72,50,360,30,30,lastopt10,partition,synergy
47,2,LTO,none,24,20,72,50,360,20,20,lastopt10,partition,synergy
48,2,LTO,none,24,20,72,50,360,10,10,lastopt10,partition,synergy
49,2,LTO,none,24,20,72,50,360,30,30,lastoptall,partition,synergy
50,2,LTO,none,24,20,72,50,360,20,20,lastoptall,partition,synergy
51,2,LTO,none,24,20,72,50,360,10,10,lastoptall,partition,synergy
52,2,LTO,none,24,20,72,50,360,30,30,tabu15,partition,synergy
53,2,LTO,none,24,20,72,50,360,20,20,tabu15,partition,synergy
54,2,LTO,none,24,20,72,50,360,10,10,tabu15,partition,synergy
55,2,LTO,none,24,20,72,50,360,30,30,tabu8,partition,synergy
56,2,LTO,none,24,20,72,50,360,20,20,tabu8,partition,synergy
57,2,LTO,none,24,20,72,50,360,10,10,tabu8,partition,synergy
58,2,LTO,none,24,20,72,50,360,30,30,orderedsp,partition,synergy
59,2,LTO,none,24,20,72,50,360,20,20,orderedsp,partition,synergy
60,2,LTO,none,24,20,72,50,360,10,10,orderedsp,partition,synergy
61,2,LTO,none,24,20,72,50,360,30,30,lastopt10,partition,random
62,2,LTO,none,24,20,72,50,360,20,20,lastopt10,partition,random
63,2,LTO,none,24,20,72,50,360,10,10,lastopt10,partition,random
64,2,LTO,none,24,20,72,50,360,30,30,lastoptall,partition,random
65,2,LTO,none,24,20,72,50,360,20,20,lastoptall,partition,random
66,2,LTO,none,24,20,72,50,360,10,10,lastoptall,partition,random
67,2,LTO,none,24,20,72,50,360,30,30,tabu15,partition,random
68,2,LTO,none,24,20,72,50,360,20,20,tabu15,partition,random
69,2,LTO,none,24,20,72,50,360,10,10,tabu15,partition,random
70,2,LTO,none,24,20,72,50,360,30,30,tabu8,partition,random
71,2,LTO,none,24,20,72,50,360,20,20,tabu8,partition,random
72,2,LTO,none,24,20,72,50,360,10,10,tabu8,partition,random
73,2,LTO,none,24,20,72,50,360,30,30,orderedsp,partition,random
74,2,LTO,none,24,20,72,50,360,20,20,orderedsp,partition,random
75,2,LTO,none,24,20,72,50,360,10,10,orderedsp,partition,random
76,2,LTO,none,24,20,72,50,360,30,30,lastopt10,partition,heuristic
77,2,LTO,none,24,20,72,50,360,20,20,lastopt10,partition,heuristic
78,2,LTO,none,24,20,72,50,360,10,10,lastopt10,partition,heuristic
79,2,LTO,none,24,20,72,50,360,30,30,lastoptall,partition,heuristic
80,2,LTO,none,24,20,72,50,360,20,20,lastoptall,partition,heuristic
81,2,LTO,none,24,20,72,50,360,10,10,lastoptall,partition,heuristic
82,2,LTO,none,24,20,72,50,360,30,30,tabu15,partition,heuristic
83,2,LTO,none,24,20,72,50,360,20,20,tabu15,partition,heuristic
84,2,LTO,none,24,20,72,50,360,10,10,tabu15,partition,heuristic
85,2,LTO,none,24,20,72,50,360,30,30,tabu8,partition,heuristic
86,2,LTO,none,24,20,72,50,360,20,20,tabu8,partition,heuristic
87,2,LTO,none,24,20,72,50,360,10,10,tabu8,partition,heuristic
88,2,LTO,none,24,20,72,50,360,30,30,orderedsp,partition,heuristic
89,2,LTO,none,24,20,72,50,360,20,20,orderedsp,partition,heuristic
90,2,LTO,none,24,20,72,50,360,10,10,orderedsp,partition,heuristic
91,3,LTO,none,24,20,72,50,360,30,30,lastopt10,partition,synergy
92,3,LTO,none,24,20,72,50,360,20,20,lastopt10,partition,synergy
93,3,LTO,none,24,20,72,50,360,10,10,lastopt10,partition,synergy
94,3,LTO,none,24,20,72,50,360,30,30,lastoptall,partition,synergy
95,3,LTO,none,24,20,72,50,360,20,20,lastoptall,partition,synergy
96,3,LTO,none,24,20,72,50,360,10,10,lastoptall,partition,synergy
97,3,LTO,none,24,20,72,50,360,30,30,tabu15,partition,synergy
98,3,LTO,none,24,20,72,50,360,20,20,tabu15,partition,synergy
99,3,LTO,none,24,20,72,50,360,10,10,tabu15,partition,synergy
100,3,LTO,none,24,20,72,50,360,30,30,tabu8,partition,synergy
101,3,LTO,none,24,20,72,50,360,20,20,tabu8,partition,synergy
102,3,LTO,none,24,20,72,50,360,10,10,tabu8,partition,synergy
103,3,LTO,none,24,20,72,50,360,30,30,orderedsp,partition,synergy
104,3,LTO,none,24,20,72,50,360,20,20,orderedsp,partition,synergy
